"Accepted Currency","Geaccepteerde munteenheid"
"An error has occurred","Er is een fout opgetreden"
"An error occurred during paying process.","Er is een fout opgetreden bij het betalingsproces."
"An error occurred during the paying process.","Er is een fout opgetreden bij het betalingsproces"
"Authorize Only","autoriseer alleen"
"Authorize and Capture","autoriseer en sla op"
"CGI URL","CGI URL"
"Card Verification Number","Kaartverificatienummer"
"ChronoPay Gateway","ChronoPay Gateway"
"ChronoPay Standard","ChronoPay standaard"
"Credit Card Number","Nummer creditcard"
"Credit Card Number: xxxx-%s","Creditcardnummer: xxxx-%s"
"Credit Card Type","Type credit card"
"Credit Card Type: %s","Creditcard type: %s"
"Credit Card Types","Types credit card"
"Customer Interface Language","Klant interface taal"
"Debug","Debug"
"Dutch","Nederlands"
"Enabled","Aan"
"English","Engels"
"Expiration Date","Houdbaarheidsdatum"
"Gateway request error: %s","Gateway aanvraag fout: %s"
"German","Duits"
"Invalid operation code.","Onjuiste operatiecode."
"Invalid response format.","Onjuist antwoordformaat."
"Issue Number","Nummer uitgave"
"Name on Card","Naam op de kaart"
"Name on the Card: %s","Naam op de kaart: %s"
"New Order Status","Nieuwe Status van de Bestelling"
"Order #%s","Bestelling #%s"
"Order number will be used if left empty.","Bestellingsnummer zal worden gebruikt indien leeggelaten"
"Payment Action","Betaling"
"Payment from Applicable Countries","Betaling van GeÃ«igende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Please Select","Selecteer a.u.b."
"Product ID","Product ID"
"Russian","Russisch"
"Shared Secret","Gedeeld geheim"
"Site ID","Site ID"
"Sort Order","Sorteer Bestelling"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","Specificeer toegang URL: {STORE_URL}/chronopay/standard/success in de ChronoPay klantenadministratie."
"Start Date","Begindatum"
"Switch/Solo/Maestro Only","Enkel Switch/Solo/Maestro"
"The customer has successfully returned from Chronopay.","De klant is met succes teruggekeerd van Chronopay."
"The customer was redirected to Chronopay.","De klant is omgeleid naar Chronopay."
"The selected currency code (%s) is not compatible with ChronoPay.","De geselecteerde valutacode (%s) is niet verenigbaar met ChronoPay."
"The transaction ID is invalid.","De transactie-ID is niet geldig"
"Title","Titel"
"Transaction Description","Transactie omschrijving"
"What is this?","Wat is dit?"
"You will be redirected to ChronoPay in a few seconds.","U zult worden omgeleid naar ChronoPay binnen een aantal seconden."
"You will be redirected to Chronopay website when you place an order.","U zult worden omgeleid naar ChronoPay wanneer u een bestelling plaatst."
