" There was an error occurred during paying process.","Er is een fout opgetreden tijdens het betaalproces."
"An error has occured","Een fout is opgetreden."
"An error occurred during the payment process.","Er is een fout opgetreden tijdens het betaalproces."
"Bank","Bank"
"Credit Mutuel","Credit Mutuel"
"Customer Interface language","Klant interface taal"
"Customer has returned from Cybermut.","Klant is teruggekeerd van Cybermut"
"Customer was redirected to Cybermut","Klant is doorgestuurd naar Cybermut"
"Debug","Debug"
"Dutch","Nederlands"
"Enabled","Aan"
"English","Engels"
"French","Frans"
"German","Duits"
"Groupe CIC","Groep CIC"
"Italian","Italiaans"
"Key","Sleutel"
"New Order Status","Nieuwe Status van de Bestelling"
"OBC","OBC"
"Order #%s","Bestelling #%s"
"Order number will be used if left empty.","Bestellingsnummer zal worden gebruikt als deze leeg wordt gelaten."
"Payment from Applicable Countries","Betaling van GeÃ«igende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Returned MAC is invalid. Order cancelled.","Teruggestuurde MAC is ongeldig. Bestelling geannuleerd."
"SHA Key","SHA sleutel"
"Site Code","Site code"
"Sort Order","Sorteer Bestelling"
"Spain","Spanje"
"TPE Number","TPE nummer"
"Test Mode","Test modus"
"The customer successfully returned from Cybermut.","De klant is succesvol teruggekeerd van Cybermut."
"Title","Titel"
"Transaction Description","Transactie Beschrijving"
"You will be redirected to Cybermut in a few seconds.","U wordt teruggestuurd naar Cybermut binnen enkele seconden."
"You will be redirected to Cybermut website when you place an order.","U wordt teruggestuurd naar de Cybermut website wanneer u een bestelling plaatst."
