"%s is not a supported currency.","%s is geen ondersteunde valuta."
"Accept","Bevestig"
"Basic","Basis"
"Cannot retrieve rate from %s to %s.","Kan tarief niet herstellen van %s naar %s."
"Cannot retrieve rate from Strikeiron.","Kan tarief niet terugkrijgen van Strikeiron."
"Check All Email Servers","Controleer Alle Email Servers"
"Complete","Compleet"
"Country/Region/Postal Code Combination","Land/Regio/Postcode Combinatie"
"Customer Tax Class","Klant BTW Klasse"
"Email Verification","Email Verificatie"
"Enable Email Verification","Sta Email Verificatie Toe"
"Enable Foreign Exchange Rate","Sta Wisselkoers Toe"
"Enable Global Address Verification","Sta Globale Adres Verificatie Toe"
"Enable Sales and Use Tax","Sta Verkoop- en Gebruiksbelasting Toe"
"Enable US Address Verification","Sta US Adres Verificatie Toe"
"Error Address Action","Fout Adres Actie"
"Error Email Recipient","Foutmelding Email Ontvanger"
"Error Email Sender","Foutmelding Email Verstuurder"
"Error Email Template","Foutmelding Email Template"
"Foreign Exchange Rates","Wisselkoersen"
"Global Address Verification","Globale Adres Verificatie"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Als type compleet is en er meerdere BTW tarieven bij de postcode behoren, kies dan om een minimum BTW tarief of een maximum BTW tarief in rekening te brengen."
"Invalid email address.","Ongeldig e-mailadres."
"Maximum Tax Rate","Maximum BTW Tarief"
"Minimum Tax Rate","Minimum BTW Tarief"
"Password","Wachtwoord"
"Pop up warning and accept","Pop-up waarschuwing en bevestiging"
"Product Tax Class","Product BTW Klasse"
"Reject","Wijs af"
"Sales and Use Tax","Verkoop- en Gebruiksbelasting"
"Sales and Use Tax Type","Verkoop- en Gebruiksbelastingstype"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Instellingen"
"Strikeiron Section","Strikeiron Gedeelte"
"Strikeiron foreign exchange rate is disabled.","Strikeiron wisselkoers is uitgeschakeld."
"Tax","Belasting"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","Het email-adres kan niet geverifieerd worden. Kijk alstublieft nog een keer en verzeker u ervan dat uw email-adres correct is ingevuld."
"There are no more hits remaining for the foreign Exchange Rate Service.","Er zijn geen hits resterend voor de Wisselkoers Service."
"There is an error in retrieving the tax rate. Please contact us.","Er is een fout opgetreden in het ophalen van de BTW waarde. Neem alstublieft contact met ons op."
"There is an error in verifying an email. Please contact us.","Er is een fout opgetreden tijdens het verifiÃ«ren van een email. Neem alstublieft contact met ons op."
"There is no response back from Strikeiron server.","Er is geen reactie terug van de Strikeiron server."
"US Address Verification","US Adres Verificatie"
"Undetermined Email Action","Onbepaalde Email Actie"
"Use","Gebruik"
"User ID","Gebruikers ID"
"Verify Address in Admin","Verifieer Adres in Administratie"
"Verify Email in Admin","Verifieer Email in Administratie"
